rank,lr,lamb,mu,n_eopch,batch_size,best_train_rmse,best_test_rmse,best_eval_rmse,best_epoch,init_value,minutes
16,0.100000,0.000030,4.070991,2000,500,0.639530,0.716654,0.710304,1380,0.010000,26.672083
16,0.100000,0.000050,4.070991,2000,500,0.648147,0.717052,0.709924,1546,0.010000,59.146061
16,0.100000,0.000100,4.070991,2000,500,0.675071,0.721812,0.715896,1999,0.010000,40.180457
